RANK,Country,latitude,longitude,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,
1,Finland,61.92411,25.748151,7.821,"7,886","7,756","2,518","1,892","1,258","0,775","0,736","0,109","0,534","5,668"
2,Denmark,56.26392,9.501785,7.636,"7,710","7,563","2,226","1,953","1,243","0,777","0,719","0,188","0,532","5,422"
3,Iceland,64.963051,-19.020835,7.557,"7,651","7,464","2,320","1,936","1,320","0,803","0,718","0,270","0,191","5,576"
4,Switzerland,46.818188,8.227512,7.512,"7,586","7,437","2,153","2,026","1,226","0,822","0,677","0,147","0,461","5,405"
5,Netherlands,52.132633,5.291266,7.415,"7,471","7,359","2,137","1,945","1,206","0,787","0,651","0,271","0,419","5,288"
6,Luxembourg*,49.815273,6.129583,7.404,"7,501","7,307","2,042","2,209","1,155","0,790","0,700","0,120","0,388","5,406"
7,Sweden,60.128161,18.643501,7.384,"7,454","7,315","2,003","1,920","1,204","0,803","0,724","0,218","0,512","5,127"
8,Norway,60.472024,8.468946,7.365,"7,440","7,290","1,925","1,997","1,239","0,786","0,728","0,217","0,474","5,161"
9,Israel,31.046051,34.851612,7.364,"7,426","7,301","2,634","1,826","1,221","0,818","0,568","0,155","0,143","5,681"
10,New Zealand,-40.900557,174.885971,7.2,"7,279","7,120","1,954","1,852","1,235","0,752","0,680","0,245","0,483","5,041"
11,Austria,47.516231,14.550072,7.163,"7,237","7,089","2,148","1,931","1,165","0,774","0,623","0,193","0,329","5,244"
12,Australia,-25.274398,133.775136,7.162,"7,244","7,081","2,011","1,900","1,203","0,772","0,676","0,258","0,341","5,114"
13,Ireland,53.41291,-8.24389,7.041,"7,121","6,961","1,743","2,129","1,166","0,779","0,627","0,190","0,408","5,038"
14,Germany,51.165691,10.451526,7.034,"7,122","6,947","2,142","1,924","1,088","0,776","0,585","0,163","0,358","5,154"
15,Canada,56.130366,-106.346771,7.025,"7,107","6,943","1,924","1,886","1,188","0,783","0,659","0,217","0,368","4,998"
16,USA,37.09024,-95.712891,6.977,"7,065","6,888","2,214","1,982","1,182","0,628","0,574","0,220","0,177","5,378"
17,England,55.378051,-3.435973,6.943,"7,018","6,867","1,967","1,867","1,143","0,750","0,597","0,289","0,329","4,977"
18,Czechia,49.817492,15.472962,6.92,"7,029","6,811","2,263","1,815","1,260","0,715","0,660","0,158","0,048","5,338"
19,Belgium,50.503887,4.469936,6.805,"6,890","6,720","2,283","1,907","1,106","0,764","0,492","0,049","0,204","5,296"
20,France,46.227638,2.213749,6.687,"6,758","6,615","1,895","1,863","1,219","0,808","0,567","0,070","0,266","4,977"
21,Bahrain,25.930414,50.637772,6.647,"6,779","6,514","2,092","1,854","1,029","0,625","0,693","0,199","0,155","4,975"
22,Slovenia,46.151241,14.995463,6.63,"6,718","6,542","1,885","1,810","1,249","0,769","0,685","0,118","0,115","4,944"
23,Costa Rica,9.748917,-83.753428,6.582,"6,683","6,481","2,346","1,584","1,054","0,744","0,661","0,089","0,102","4,984"
24,United Arab Emirates,23.424076,53.847818,6.576,"6,660","6,492","1,809","1,998","0,980","0,633","0,702","0,204","0,250","3,807"
25,Saudi Arabia,23.885942,45.079162,6.523,"6,637","6,409","2,075","1,870","1,092","0,577","0,651","0,078","0,180","5,037"
26,Taiwan Province of China,23.69781,120.960515,6.512,"6,596","6,429","2,002","1,897","1,095","0,733","0,542","0,075","0,168","4,994"
27,Singapore,1.352083,103.819836,6.48,"6,569","6,392","0,932","2,149","1,127","0,851","0,672","0,163","0,587","3,276"
28,Romania,45.943161,24.96676,6.477,"6,575","6,379","2,446","1,719","1,006","0,655","0,605","0,039","0,006","5,171"
29,Spain,40.463667,-3.74922,6.476,"6,560","6,392","1,893","1,808","1,211","0,808","0,505","0,101","0,149","4,912"
30,Uruguay,-32.522779,-55.765835,6.474,"6,562","6,386","1,974","1,615","1,180","0,672","0,665","0,103","0,265","4,769"
31,Italy,41.87194,12.56738,6.467,"6,570","6,363","2,222","1,834","1,052","0,801","0,412","0,085","0,059","5,108"
32,Kosovo,42.602636,20.902977,6.455,"6,571","6,339","2,631","1,362","0,949","0,569","0,599","0,309","0,035","3,993"
33,Malta,35.937496,14.375416,6.447,"6,535","6,359","1,631","1,838","1,169","0,789","0,679","0,174","0,166","4,638"
34,Lithuania,55.169438,23.881275,6.446,"6,535","6,356","2,153","1,804","1,204","0,659","0,496","0,053","0,077","5,161"
35,Slovakia,48.669026,19.699024,6.391,"6,475","6,306","2,094","1,736","1,232","0,707","0,479","0,118","0,025","5,062"
36,Estonia,58.595272,25.013607,6.341,"6,415","6,266","1,442","1,793","1,232","0,728","0,689","0,123","0,333","4,467"
37,Panama,8.537981,-80.782127,6.309,"6,464","6,154","2,086","1,715","1,107","0,709","0,592","0,049","0,051","4,908"
38,Brazil,-14.235004,-51.92528,6.293,"6,384","6,202","2,361","1,462","1,044","0,615","0,546","0,131","0,134","4,867"
39,Guatemala*,15.783471,-90.230759,6.262,"6,460","6,064","2,746","1,274","0,831","0,522","0,662","0,112","0,115","4,020"
40,Kazakhstan,48.019573,66.923684,6.234,"6,330","6,138","1,860","1,668","1,220","0,611","0,584","0,134","0,157","4,748"
41,Cyprus,35.126413,33.429859,6.221,"6,320","6,122","2,044","1,815","0,909","0,819","0,448","0,123","0,062","3,859"
42,Latvia,56.879635,24.603189,6.18,"6,255","6,106","1,923","1,732","1,221","0,637","0,502","0,075","0,090","4,876"
43,Serbia,44.016521,21.005859,6.178,"6,294","6,062","2,031","1,550","1,086","0,658","0,546","0,219","0,088","4,667"
44,Chile,-35.675147,-71.542969,6.172,"6,262","6,082","2,040","1,651","1,080","0,748","0,460","0,124","0,069","4,771"
45,Nicaragua,12.865416,-85.207229,6.165,"6,312","6,017","2,418","1,105","1,029","0,617","0,617","0,168","0,212","4,552"
46,Mexico,23.634501,-102.552784,6.128,"6,238","6,017","2,239","1,552","0,886","0,623","0,621","0,092","0,115","3,791"
47,Croatia,45.1,15.2,6.125,"6,229","6,022","1,884","1,705","1,183","0,709","0,535","0,109","0,000","4,772"
